episode,reward,planning_rate
1,0.0,1.0
2,2.0,1.0
3,0.0,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,2.0,1.0
9,0.0,1.0
10,0.0,1.0
11,0.0,1.0
12,0.0,1.0
13,2.0,1.0
14,0.0,1.0
15,0.0,1.0
16,0.0,1.0
17,0.0,1.0
18,0.0,1.0
19,0.0,1.0
20,0.0,1.0
21,0.0,1.0
22,0.0,1.0
23,0.0,1.0
24,0.0,1.0
25,0.0,1.0
26,0.0,1.0
27,0.0,1.0
28,2.0,1.0
29,1.0,1.0
30,1.0,1.0
31,0.0,1.0
32,0.0,1.0
33,2.0,1.0
34,2.0,1.0
35,0.0,1.0
36,0.0,1.0
37,0.0,1.0
38,2.0,1.0
39,2.0,1.0
40,0.0,1.0
41,0.0,1.0
42,0.0,1.0
43,0.0,1.0
44,0.0,1.0
45,0.0,1.0
46,0.0,1.0
47,0.0,1.0
48,0.0,1.0
49,2.0,1.0
50,0.0,1.0
51,2.0,1.0
52,0.0,1.0
53,0.0,1.0
54,0.0,1.0
55,0.0,1.0
56,0.0,1.0
57,2.0,1.0
58,0.0,1.0
59,0.0,1.0
60,0.0,1.0
61,0.0,1.0
62,0.0,1.0
63,2.0,1.0
64,0.0,1.0
65,2.0,1.0
66,0.0,1.0
67,2.0,1.0
68,0.0,1.0
69,0.0,1.0
70,0.0,1.0
71,2.0,1.0
72,0.0,1.0
73,2.0,1.0
74,2.0,1.0
75,0.0,1.0
76,2.0,1.0
77,0.0,1.0
78,0.0,1.0
79,0.0,1.0
80,0.0,1.0
81,0.0,1.0
82,0.0,1.0
83,2.0,1.0
84,0.0,1.0
85,0.0,1.0
86,0.0,1.0
87,0.0,1.0
88,0.0,1.0
89,0.0,1.0
90,0.0,1.0
91,0.0,1.0
92,0.0,1.0
93,0.0,1.0
94,0.0,1.0
95,0.0,1.0
96,3.0,1.0
97,1.0,1.0
98,1.0,1.0
99,0.0,1.0
100,1.0,1.0
101,0.0,1.0
102,0.0,1.0
103,0.0,1.0
104,0.0,1.0
105,0.0,1.0
106,2.0,1.0
107,1.0,1.0
108,0.0,1.0
109,0.0,1.0
110,0.0,1.0
111,0.0,1.0
112,0.0,1.0
113,0.0,1.0
114,0.0,1.0
115,0.0,1.0
116,0.0,1.0
117,0.0,1.0
118,0.0,1.0
119,0.0,1.0
120,0.0,1.0
121,0.0,1.0
122,0.0,1.0
123,1.0,1.0
124,0.0,1.0
125,0.0,1.0
126,2.0,1.0
127,0.0,1.0
128,0.0,1.0
129,0.0,1.0
130,1.0,1.0
131,1.0,1.0
132,0.0,1.0
133,0.0,1.0
134,0.0,1.0
135,0.0,1.0
136,0.0,1.0
137,2.0,1.0
138,0.0,1.0
139,1.0,1.0
140,0.0,1.0
141,0.0,1.0
142,1.0,1.0
143,0.0,1.0
144,1.0,1.0
145,2.0,1.0
146,0.0,1.0
147,0.0,1.0
148,0.0,1.0
149,2.0,1.0
150,2.0,1.0
151,2.0,1.0
152,0.0,1.0
153,1.0,1.0
154,0.0,1.0
155,0.0,1.0
156,0.0,1.0
157,0.0,1.0
158,0.0,1.0
159,1.0,1.0
160,0.0,1.0
161,0.0,1.0
162,0.0,1.0
163,0.0,1.0
164,0.0,1.0
165,0.0,1.0
166,0.0,1.0
167,0.0,1.0
168,0.0,1.0
169,0.0,1.0
170,1.0,1.0
171,0.0,1.0
172,1.0,1.0
173,1.0,1.0
174,0.0,1.0
175,0.0,1.0
176,0.0,1.0
177,1.0,1.0
178,0.0,1.0
179,0.0,1.0
180,0.0,1.0
181,0.0,1.0
182,1.0,1.0
183,0.0,1.0
184,0.0,1.0
185,0.0,1.0
186,0.0,1.0
187,0.0,1.0
188,0.0,1.0
189,1.0,1.0
190,0.0,1.0
191,0.0,1.0
192,0.0,1.0
193,0.0,1.0
194,0.0,1.0
195,0.0,1.0
196,0.0,1.0
197,0.0,1.0
198,0.0,1.0
199,0.0,1.0
200,0.0,1.0
201,0.0,1.0
202,1.0,1.0
203,1.0,1.0
204,0.0,1.0
205,0.0,0.5357142857142857
206,0.0,0.12244897959183673
207,1.0,0.13333333333333333
208,1.0,0.1232876712328767
209,0.0,0.1111111111111111
210,0.0,0.13793103448275862
211,0.0,0.12903225806451613
212,1.0,0.11666666666666667
213,0.0,0.13333333333333333
214,0.0,0.13793103448275862
215,0.0,0.11363636363636363
216,1.0,0.125
217,0.0,0.12903225806451613
218,0.0,0.125
219,0.0,0.12903225806451613
220,0.0,0.11538461538461539
221,0.0,0.125
222,0.0,0.14285714285714285
223,0.0,0.1111111111111111
