Saving all outputs to: /home/administrator/FYP/RL-baselines/results/dreamer_v1/run_20260430_214910
Prefill: 1000/50000
Prefill: 2000/50000
Prefill: 3000/50000
Prefill: 4000/50000
Prefill: 5000/50000
Prefill: 6000/50000
Prefill: 7000/50000
Prefill: 8000/50000
Prefill: 9000/50000
Prefill: 10000/50000
Prefill: 11000/50000
Prefill: 12000/50000
Prefill: 13000/50000
Prefill: 14000/50000
Prefill: 15000/50000
Prefill: 16000/50000
Prefill: 17000/50000
Prefill: 18000/50000
Prefill: 19000/50000
Prefill: 20000/50000
Prefill: 21000/50000
Prefill: 22000/50000
Prefill: 23000/50000
Prefill: 24000/50000
Prefill: 25000/50000
Prefill: 26000/50000
Prefill: 27000/50000
Prefill: 28000/50000
Prefill: 29000/50000
Prefill: 30000/50000
Prefill: 31000/50000
Prefill: 32000/50000
Prefill: 33000/50000
Prefill: 34000/50000
Prefill: 35000/50000
Prefill: 36000/50000
Prefill: 37000/50000
Prefill: 38000/50000
Prefill: 39000/50000
Prefill: 40000/50000
Prefill: 41000/50000
Prefill: 42000/50000
Prefill: 43000/50000
Prefill: 44000/50000
Prefill: 45000/50000
Prefill: 46000/50000
Prefill: 47000/50000
Prefill: 48000/50000
Prefill: 49000/50000
Update 0/20000 | world 0.7738 | actor -0.1149 | value 0.0162
Collected 1000 policy steps | episodes 1 | reward sum 18.80 | replay 51000
Update 100/20000 | world 0.0057 | actor -12.7514 | value 0.6461
Collected 1000 policy steps | episodes 1 | reward sum 19.66 | replay 52000
Update 200/20000 | world 0.0089 | actor -5.7107 | value 0.0511
Collected 1000 policy steps | episodes 1 | reward sum 9.94 | replay 53000
Update 300/20000 | world 0.0045 | actor -4.3934 | value 0.0231
Collected 1000 policy steps | episodes 1 | reward sum 29.73 | replay 54000
Update 400/20000 | world 0.0048 | actor -3.3106 | value 0.0139
Collected 1000 policy steps | episodes 1 | reward sum 117.11 | replay 55000
Update 500/20000 | world 0.0043 | actor -3.3178 | value 0.0164
Collected 1000 policy steps | episodes 1 | reward sum 49.07 | replay 56000
Update 600/20000 | world 0.0044 | actor -5.4021 | value 0.0312
Collected 1000 policy steps | episodes 1 | reward sum 44.44 | replay 57000
Update 700/20000 | world 0.0043 | actor -5.6024 | value 0.0346
Collected 1000 policy steps | episodes 1 | reward sum 50.81 | replay 58000
Update 800/20000 | world 0.0043 | actor -4.8405 | value 0.0143
Collected 1000 policy steps | episodes 1 | reward sum 29.15 | replay 59000
Update 900/20000 | world 0.0041 | actor -5.3525 | value 0.0186
Collected 1000 policy steps | episodes 1 | reward sum 41.20 | replay 60000
Update 1000/20000 | world 0.0039 | actor -5.0753 | value 0.0162
Collected 1000 policy steps | episodes 1 | reward sum 29.63 | replay 61000
Update 1100/20000 | world 0.0032 | actor -5.5791 | value 0.0164
Collected 1000 policy steps | episodes 1 | reward sum 55.71 | replay 62000
Update 1200/20000 | world 0.0034 | actor -5.3584 | value 0.0117
Collected 1000 policy steps | episodes 1 | reward sum 97.44 | replay 63000
Update 1300/20000 | world 0.0035 | actor -5.5588 | value 0.0341
Collected 1000 policy steps | episodes 1 | reward sum 18.86 | replay 64000
Update 1400/20000 | world 0.0028 | actor -7.2851 | value 0.0109
Collected 1000 policy steps | episodes 1 | reward sum 86.03 | replay 65000
Update 1500/20000 | world 0.0032 | actor -5.9700 | value 0.0120
Collected 1000 policy steps | episodes 1 | reward sum 20.15 | replay 66000
Update 1600/20000 | world 0.0024 | actor -5.6399 | value 0.0057
