Saving all results to: /home/administrator/FYP/RL-baselines/results/dyna_q/run_20260501_112940
Starting Dyna-Q Training on CliffWalking-v1 for 100000 episodes...
Episode 100/100000 | Exploratory train avg (Last 100): -109.13 | Greedy eval avg: -13.00
Episode 200/100000 | Exploratory train avg (Last 100): -122.77 | Greedy eval avg: -13.00
Episode 300/100000 | Exploratory train avg (Last 100): -102.67 | Greedy eval avg: -13.00
Episode 400/100000 | Exploratory train avg (Last 100): -107.20 | Greedy eval avg: -13.00
Episode 500/100000 | Exploratory train avg (Last 100): -113.60 | Greedy eval avg: -13.00
Episode 600/100000 | Exploratory train avg (Last 100): -110.51 | Greedy eval avg: -13.00
Episode 700/100000 | Exploratory train avg (Last 100): -113.64 | Greedy eval avg: -13.00
Episode 800/100000 | Exploratory train avg (Last 100): -119.66 | Greedy eval avg: -13.00
Episode 900/100000 | Exploratory train avg (Last 100): -107.33 | Greedy eval avg: -13.00
Episode 1000/100000 | Exploratory train avg (Last 100): -118.79 | Greedy eval avg: -13.00
Episode 1100/100000 | Exploratory train avg (Last 100): -112.11 | Greedy eval avg: -13.00
Episode 1200/100000 | Exploratory train avg (Last 100): -87.22 | Greedy eval avg: -13.00
Episode 1300/100000 | Exploratory train avg (Last 100): -117.73 | Greedy eval avg: -13.00
Episode 1400/100000 | Exploratory train avg (Last 100): -84.27 | Greedy eval avg: -13.00
Episode 1500/100000 | Exploratory train avg (Last 100): -102.16 | Greedy eval avg: -13.00
Episode 1600/100000 | Exploratory train avg (Last 100): -115.42 | Greedy eval avg: -13.00
Episode 1700/100000 | Exploratory train avg (Last 100): -108.14 | Greedy eval avg: -13.00
Episode 1800/100000 | Exploratory train avg (Last 100): -103.49 | Greedy eval avg: -13.00
Episode 1900/100000 | Exploratory train avg (Last 100): -96.31 | Greedy eval avg: -13.00
Episode 2000/100000 | Exploratory train avg (Last 100): -90.96 | Greedy eval avg: -13.00
Episode 2100/100000 | Exploratory train avg (Last 100): -98.86 | Greedy eval avg: -13.00
Episode 2200/100000 | Exploratory train avg (Last 100): -128.06 | Greedy eval avg: -13.00
Episode 2300/100000 | Exploratory train avg (Last 100): -71.76 | Greedy eval avg: -13.00
Episode 2400/100000 | Exploratory train avg (Last 100): -104.69 | Greedy eval avg: -13.00
Episode 2500/100000 | Exploratory train avg (Last 100): -94.47 | Greedy eval avg: -13.00
Episode 2600/100000 | Exploratory train avg (Last 100): -114.89 | Greedy eval avg: -13.00
Episode 2700/100000 | Exploratory train avg (Last 100): -90.65 | Greedy eval avg: -13.00
Episode 2800/100000 | Exploratory train avg (Last 100): -99.16 | Greedy eval avg: -13.00
Episode 2900/100000 | Exploratory train avg (Last 100): -107.66 | Greedy eval avg: -13.00
Episode 3000/100000 | Exploratory train avg (Last 100): -99.56 | Greedy eval avg: -13.00
Episode 3100/100000 | Exploratory train avg (Last 100): -97.68 | Greedy eval avg: -13.00
Episode 3200/100000 | Exploratory train avg (Last 100): -94.21 | Greedy eval avg: -13.00
Episode 3300/100000 | Exploratory train avg (Last 100): -91.86 | Greedy eval avg: -13.00
Episode 3400/100000 | Exploratory train avg (Last 100): -110.76 | Greedy eval avg: -13.00
Episode 3500/100000 | Exploratory train avg (Last 100): -77.07 | Greedy eval avg: -13.00
Episode 3600/100000 | Exploratory train avg (Last 100): -80.99 | Greedy eval avg: -13.00
Episode 3700/100000 | Exploratory train avg (Last 100): -112.75 | Greedy eval avg: -13.00
Episode 3800/100000 | Exploratory train avg (Last 100): -84.63 | Greedy eval avg: -13.00
Episode 3900/100000 | Exploratory train avg (Last 100): -80.69 | Greedy eval avg: -13.00
Episode 4000/100000 | Exploratory train avg (Last 100): -94.04 | Greedy eval avg: -13.00
Episode 4100/100000 | Exploratory train avg (Last 100): -83.10 | Greedy eval avg: -13.00
Episode 4200/100000 | Exploratory train avg (Last 100): -86.56 | Greedy eval avg: -13.00
Episode 4300/100000 | Exploratory train avg (Last 100): -88.46 | Greedy eval avg: -13.00
Episode 4400/100000 | Exploratory train avg (Last 100): -110.31 | Greedy eval avg: -13.00
Episode 4500/100000 | Exploratory train avg (Last 100): -100.94 | Greedy eval avg: -13.00
Episode 4600/100000 | Exploratory train avg (Last 100): -87.98 | Greedy eval avg: -13.00
Episode 4700/100000 | Exploratory train avg (Last 100): -93.35 | Greedy eval avg: -13.00
Episode 4800/100000 | Exploratory train avg (Last 100): -91.14 | Greedy eval avg: -13.00
Episode 4900/100000 | Exploratory train avg (Last 100): -93.74 | Greedy eval avg: -13.00
Episode 5000/100000 | Exploratory train avg (Last 100): -76.12 | Greedy eval avg: -13.00
Episode 5100/100000 | Exploratory train avg (Last 100): -96.37 | Greedy eval avg: -13.00
Episode 5200/100000 | Exploratory train avg (Last 100): -94.61 | Greedy eval avg: -13.00
Episode 5300/100000 | Exploratory train avg (Last 100): -102.71 | Greedy eval avg: -13.00
Episode 5400/100000 | Exploratory train avg (Last 100): -100.76 | Greedy eval avg: -13.00
Episode 5500/100000 | Exploratory train avg (Last 100): -94.96 | Greedy eval avg: -13.00
Episode 5600/100000 | Exploratory train avg (Last 100): -77.61 | Greedy eval avg: -13.00
Episode 5700/100000 | Exploratory train avg (Last 100): -86.62 | Greedy eval avg: -13.00
Episode 5800/100000 | Exploratory train avg (Last 100): -94.16 | Greedy eval avg: -13.00
Episode 5900/100000 | Exploratory train avg (Last 100): -81.55 | Greedy eval avg: -13.00
Episode 6000/100000 | Exploratory train avg (Last 100): -97.36 | Greedy eval avg: -13.00
Episode 6100/100000 | Exploratory train avg (Last 100): -94.73 | Greedy eval avg: -13.00
Episode 6200/100000 | Exploratory train avg (Last 100): -87.32 | Greedy eval avg: -13.00
Episode 6300/100000 | Exploratory train avg (Last 100): -96.15 | Greedy eval avg: -13.00
Episode 6400/100000 | Exploratory train avg (Last 100): -98.44 | Greedy eval avg: -13.00
Episode 6500/100000 | Exploratory train avg (Last 100): -105.97 | Greedy eval avg: -13.00
Episode 6600/100000 | Exploratory train avg (Last 100): -76.53 | Greedy eval avg: -13.00
Episode 6700/100000 | Exploratory train avg (Last 100): -78.38 | Greedy eval avg: -13.00
Episode 6800/100000 | Exploratory train avg (Last 100): -82.66 | Greedy eval avg: -13.00
Episode 6900/100000 | Exploratory train avg (Last 100): -85.91 | Greedy eval avg: -13.00
Episode 7000/100000 | Exploratory train avg (Last 100): -78.37 | Greedy eval avg: -13.00
Episode 7100/100000 | Exploratory train avg (Last 100): -91.25 | Greedy eval avg: -13.00
Episode 7200/100000 | Exploratory train avg (Last 100): -75.96 | Greedy eval avg: -13.00
Episode 7300/100000 | Exploratory train avg (Last 100): -87.89 | Greedy eval avg: -13.00
Episode 7400/100000 | Exploratory train avg (Last 100): -72.25 | Greedy eval avg: -13.00
Episode 7500/100000 | Exploratory train avg (Last 100): -103.80 | Greedy eval avg: -13.00
Episode 7600/100000 | Exploratory train avg (Last 100): -89.08 | Greedy eval avg: -13.00
Episode 7700/100000 | Exploratory train avg (Last 100): -89.71 | Greedy eval avg: -13.00
Episode 7800/100000 | Exploratory train avg (Last 100): -74.15 | Greedy eval avg: -13.00
Episode 7900/100000 | Exploratory train avg (Last 100): -76.47 | Greedy eval avg: -13.00
Episode 8000/100000 | Exploratory train avg (Last 100): -74.27 | Greedy eval avg: -13.00
Episode 8100/100000 | Exploratory train avg (Last 100): -76.27 | Greedy eval avg: -13.00
Episode 8200/100000 | Exploratory train avg (Last 100): -79.39 | Greedy eval avg: -13.00
Episode 8300/100000 | Exploratory train avg (Last 100): -89.24 | Greedy eval avg: -13.00
Episode 8400/100000 | Exploratory train avg (Last 100): -66.31 | Greedy eval avg: -13.00
Episode 8500/100000 | Exploratory train avg (Last 100): -75.33 | Greedy eval avg: -13.00
Episode 8600/100000 | Exploratory train avg (Last 100): -83.59 | Greedy eval avg: -13.00
Episode 8700/100000 | Exploratory train avg (Last 100): -85.31 | Greedy eval avg: -13.00
Episode 8800/100000 | Exploratory train avg (Last 100): -81.23 | Greedy eval avg: -13.00
Episode 8900/100000 | Exploratory train avg (Last 100): -64.41 | Greedy eval avg: -13.00
Episode 9000/100000 | Exploratory train avg (Last 100): -91.97 | Greedy eval avg: -13.00
Episode 9100/100000 | Exploratory train avg (Last 100): -67.10 | Greedy eval avg: -13.00
Episode 9200/100000 | Exploratory train avg (Last 100): -77.93 | Greedy eval avg: -13.00
Episode 9300/100000 | Exploratory train avg (Last 100): -81.53 | Greedy eval avg: -13.00
Episode 9400/100000 | Exploratory train avg (Last 100): -77.82 | Greedy eval avg: -13.00
Episode 9500/100000 | Exploratory train avg (Last 100): -62.20 | Greedy eval avg: -13.00
Episode 9600/100000 | Exploratory train avg (Last 100): -84.44 | Greedy eval avg: -13.00
Episode 9700/100000 | Exploratory train avg (Last 100): -66.58 | Greedy eval avg: -13.00
Episode 9800/100000 | Exploratory train avg (Last 100): -78.68 | Greedy eval avg: -13.00
Episode 9900/100000 | Exploratory train avg (Last 100): -75.26 | Greedy eval avg: -13.00
Episode 10000/100000 | Exploratory train avg (Last 100): -70.61 | Greedy eval avg: -13.00
Episode 10100/100000 | Exploratory train avg (Last 100): -59.06 | Greedy eval avg: -13.00
Episode 10200/100000 | Exploratory train avg (Last 100): -82.89 | Greedy eval avg: -13.00
Episode 10300/100000 | Exploratory train avg (Last 100): -71.30 | Greedy eval avg: -13.00
Episode 10400/100000 | Exploratory train avg (Last 100): -79.53 | Greedy eval avg: -13.00
Episode 10500/100000 | Exploratory train avg (Last 100): -70.40 | Greedy eval avg: -13.00
Episode 10600/100000 | Exploratory train avg (Last 100): -75.78 | Greedy eval avg: -13.00
Episode 10700/100000 | Exploratory train avg (Last 100): -74.04 | Greedy eval avg: -13.00
Episode 10800/100000 | Exploratory train avg (Last 100): -78.98 | Greedy eval avg: -13.00
Episode 10900/100000 | Exploratory train avg (Last 100): -82.76 | Greedy eval avg: -13.00
Episode 11000/100000 | Exploratory train avg (Last 100): -72.37 | Greedy eval avg: -13.00
Episode 11100/100000 | Exploratory train avg (Last 100): -80.16 | Greedy eval avg: -13.00
Episode 11200/100000 | Exploratory train avg (Last 100): -67.19 | Greedy eval avg: -13.00
Episode 11300/100000 | Exploratory train avg (Last 100): -61.40 | Greedy eval avg: -13.00
Episode 11400/100000 | Exploratory train avg (Last 100): -68.85 | Greedy eval avg: -13.00
Episode 11500/100000 | Exploratory train avg (Last 100): -85.11 | Greedy eval avg: -13.00
Episode 11600/100000 | Exploratory train avg (Last 100): -78.17 | Greedy eval avg: -13.00
Episode 11700/100000 | Exploratory train avg (Last 100): -69.80 | Greedy eval avg: -13.00
Episode 11800/100000 | Exploratory train avg (Last 100): -84.39 | Greedy eval avg: -13.00
Episode 11900/100000 | Exploratory train avg (Last 100): -70.28 | Greedy eval avg: -13.00
Episode 12000/100000 | Exploratory train avg (Last 100): -59.59 | Greedy eval avg: -13.00
Episode 12100/100000 | Exploratory train avg (Last 100): -63.80 | Greedy eval avg: -13.00
Episode 12200/100000 | Exploratory train avg (Last 100): -87.11 | Greedy eval avg: -13.00
Episode 12300/100000 | Exploratory train avg (Last 100): -69.05 | Greedy eval avg: -13.00
Episode 12400/100000 | Exploratory train avg (Last 100): -86.37 | Greedy eval avg: -13.00
Episode 12500/100000 | Exploratory train avg (Last 100): -69.97 | Greedy eval avg: -13.00
Episode 12600/100000 | Exploratory train avg (Last 100): -73.71 | Greedy eval avg: -13.00
Episode 12700/100000 | Exploratory train avg (Last 100): -68.22 | Greedy eval avg: -13.00
Episode 12800/100000 | Exploratory train avg (Last 100): -54.84 | Greedy eval avg: -13.00
Episode 12900/100000 | Exploratory train avg (Last 100): -48.71 | Greedy eval avg: -13.00
Episode 13000/100000 | Exploratory train avg (Last 100): -89.29 | Greedy eval avg: -13.00
Episode 13100/100000 | Exploratory train avg (Last 100): -67.73 | Greedy eval avg: -13.00
Episode 13200/100000 | Exploratory train avg (Last 100): -81.84 | Greedy eval avg: -13.00
Episode 13300/100000 | Exploratory train avg (Last 100): -59.09 | Greedy eval avg: -13.00
Episode 13400/100000 | Exploratory train avg (Last 100): -67.91 | Greedy eval avg: -13.00
Episode 13500/100000 | Exploratory train avg (Last 100): -64.89 | Greedy eval avg: -13.00
Episode 13600/100000 | Exploratory train avg (Last 100): -76.09 | Greedy eval avg: -13.00
Episode 13700/100000 | Exploratory train avg (Last 100): -49.28 | Greedy eval avg: -13.00
