Using device: cuda
Saving all results to: /home/administrator/FYP/RL-baselines/results/ddqn/run_20260501_142439
A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Starting Double DQN Training for 1000000 frames...
Frame: 2000/1000000 | Epsilon: 1.00 | Avg Reward (Last 20): 0.20
Frame: 4000/1000000 | Epsilon: 1.00 | Avg Reward (Last 20): 0.15
Frame: 6000/1000000 | Epsilon: 0.99 | Avg Reward (Last 20): 0.40
Frame: 8000/1000000 | Epsilon: 0.99 | Avg Reward (Last 20): 0.30
Frame: 10000/1000000 | Epsilon: 0.99 | Avg Reward (Last 20): 0.20
Frame: 12000/1000000 | Epsilon: 0.99 | Avg Reward (Last 20): 0.35
Frame: 14000/1000000 | Epsilon: 0.99 | Avg Reward (Last 20): 0.25
Frame: 16000/1000000 | Epsilon: 0.99 | Avg Reward (Last 20): 0.25
Frame: 18000/1000000 | Epsilon: 0.98 | Avg Reward (Last 20): 0.25
Frame: 20000/1000000 | Epsilon: 0.98 | Avg Reward (Last 20): 0.00
Frame: 22000/1000000 | Epsilon: 0.98 | Avg Reward (Last 20): 0.35
Frame: 24000/1000000 | Epsilon: 0.98 | Avg Reward (Last 20): 0.25
Frame: 26000/1000000 | Epsilon: 0.98 | Avg Reward (Last 20): 0.40
Frame: 28000/1000000 | Epsilon: 0.97 | Avg Reward (Last 20): 0.35
Frame: 30000/1000000 | Epsilon: 0.97 | Avg Reward (Last 20): 0.05
Frame: 32000/1000000 | Epsilon: 0.97 | Avg Reward (Last 20): 0.25
Frame: 34000/1000000 | Epsilon: 0.97 | Avg Reward (Last 20): 0.50
Frame: 36000/1000000 | Epsilon: 0.97 | Avg Reward (Last 20): 0.15
Frame: 38000/1000000 | Epsilon: 0.97 | Avg Reward (Last 20): 0.15
Frame: 40000/1000000 | Epsilon: 0.96 | Avg Reward (Last 20): 0.20
Frame: 42000/1000000 | Epsilon: 0.96 | Avg Reward (Last 20): 0.20
Frame: 44000/1000000 | Epsilon: 0.96 | Avg Reward (Last 20): 0.25
Frame: 46000/1000000 | Epsilon: 0.96 | Avg Reward (Last 20): 0.30
Frame: 48000/1000000 | Epsilon: 0.96 | Avg Reward (Last 20): 0.30
Frame: 50000/1000000 | Epsilon: 0.95 | Avg Reward (Last 20): 0.45
Frame: 52000/1000000 | Epsilon: 0.95 | Avg Reward (Last 20): 0.15
Frame: 54000/1000000 | Epsilon: 0.95 | Avg Reward (Last 20): 0.20
Frame: 56000/1000000 | Epsilon: 0.95 | Avg Reward (Last 20): 0.10
Frame: 58000/1000000 | Epsilon: 0.95 | Avg Reward (Last 20): 0.10
