Using device: cuda
Saving all results to: /home/administrator/FYP/RL-baselines/results/mpc/run_20260501_212442
Collecting seed dataset with random actions...
Training initial Dynamics Model...
Starting MPC Control loop...
Episode 1/100 | Total Reward: -121.57
   -> Dynamics Model retrained. One-step MSE: 0.00143 | 5-step rollout MSE: 0.00506
Episode 2/100 | Total Reward: -115.11
   -> Dynamics Model retrained. One-step MSE: 0.00135 | 5-step rollout MSE: 0.00618
Episode 3/100 | Total Reward: -352.23
   -> Dynamics Model retrained. One-step MSE: 0.00126 | 5-step rollout MSE: 0.00518
Episode 4/100 | Total Reward: -121.22
   -> Dynamics Model retrained. One-step MSE: 0.00114 | 5-step rollout MSE: 0.00322
Episode 5/100 | Total Reward: -348.08
   -> Dynamics Model retrained. One-step MSE: 0.00117 | 5-step rollout MSE: 0.00475
Episode 6/100 | Total Reward: -239.18
   -> Dynamics Model retrained. One-step MSE: 0.00111 | 5-step rollout MSE: 0.00165
Episode 7/100 | Total Reward: -220.89
   -> Dynamics Model retrained. One-step MSE: 0.00100 | 5-step rollout MSE: 0.00310
Episode 8/100 | Total Reward: -250.05
   -> Dynamics Model retrained. One-step MSE: 0.00094 | 5-step rollout MSE: 0.00307
Episode 9/100 | Total Reward: -349.01
   -> Dynamics Model retrained. One-step MSE: 0.00091 | 5-step rollout MSE: 0.00218
Episode 10/100 | Total Reward: -117.52
   -> Dynamics Model retrained. One-step MSE: 0.00091 | 5-step rollout MSE: 0.00417
Episode 11/100 | Total Reward: -255.46
   -> Dynamics Model retrained. One-step MSE: 0.00087 | 5-step rollout MSE: 0.00154
Episode 12/100 | Total Reward: -113.93
   -> Dynamics Model retrained. One-step MSE: 0.00089 | 5-step rollout MSE: 0.00305
Episode 13/100 | Total Reward: -246.99
   -> Dynamics Model retrained. One-step MSE: 0.00086 | 5-step rollout MSE: 0.00714
Episode 14/100 | Total Reward: -337.65
   -> Dynamics Model retrained. One-step MSE: 0.00080 | 5-step rollout MSE: 0.00079
Episode 15/100 | Total Reward: -245.47
   -> Dynamics Model retrained. One-step MSE: 0.00081 | 5-step rollout MSE: 0.00368
Episode 16/100 | Total Reward: -127.00
   -> Dynamics Model retrained. One-step MSE: 0.00082 | 5-step rollout MSE: 0.00251
Episode 17/100 | Total Reward: -221.24
