Using device: cuda
Saving all results to: /home/administrator/FYP/RL-baselines/results/muzero/run_20260502_032123
Starting MuZero training on CartPole-v1...
Game 10/5000 | Avg Reward: 20.60
Game 20/5000 | Avg Reward: 16.50
Game 30/5000 | Avg Reward: 15.50
Game 40/5000 | Avg Reward: 18.10
Game 50/5000 | Avg Reward: 23.60
Game 60/5000 | Avg Reward: 34.20
Game 70/5000 | Avg Reward: 48.80
Game 80/5000 | Avg Reward: 35.60
Game 90/5000 | Avg Reward: 89.90
Game 100/5000 | Avg Reward: 98.30
Game 110/5000 | Avg Reward: 139.10
Game 120/5000 | Avg Reward: 154.80
Game 130/5000 | Avg Reward: 181.40
Game 140/5000 | Avg Reward: 251.00
Game 150/5000 | Avg Reward: 234.40
Game 160/5000 | Avg Reward: 212.20
Game 170/5000 | Avg Reward: 255.20
Game 180/5000 | Avg Reward: 307.30
Game 190/5000 | Avg Reward: 228.30
Game 200/5000 | Avg Reward: 185.20
Game 210/5000 | Avg Reward: 222.40
Game 220/5000 | Avg Reward: 208.20
Game 230/5000 | Avg Reward: 229.50
Game 240/5000 | Avg Reward: 230.90
Game 250/5000 | Avg Reward: 261.50
Game 260/5000 | Avg Reward: 242.60
Game 270/5000 | Avg Reward: 192.60
Game 280/5000 | Avg Reward: 169.80
Game 290/5000 | Avg Reward: 296.80
Game 300/5000 | Avg Reward: 173.50
Game 310/5000 | Avg Reward: 348.40
Game 320/5000 | Avg Reward: 155.00
Game 330/5000 | Avg Reward: 307.10
Game 340/5000 | Avg Reward: 185.60
Game 350/5000 | Avg Reward: 209.80
Game 360/5000 | Avg Reward: 202.60
Game 370/5000 | Avg Reward: 261.20
Game 380/5000 | Avg Reward: 248.90
Game 390/5000 | Avg Reward: 192.30
Game 400/5000 | Avg Reward: 198.70
Game 410/5000 | Avg Reward: 174.40
Game 420/5000 | Avg Reward: 160.10
Game 430/5000 | Avg Reward: 161.10
Game 440/5000 | Avg Reward: 206.30
Game 450/5000 | Avg Reward: 156.80
Game 460/5000 | Avg Reward: 211.80
Game 470/5000 | Avg Reward: 194.30
Game 480/5000 | Avg Reward: 280.10
Game 490/5000 | Avg Reward: 181.00
Game 500/5000 | Avg Reward: 181.40
Game 510/5000 | Avg Reward: 231.60
Game 520/5000 | Avg Reward: 191.40
Game 530/5000 | Avg Reward: 206.10
Game 540/5000 | Avg Reward: 211.60
Game 550/5000 | Avg Reward: 176.50
Game 560/5000 | Avg Reward: 220.90
Game 570/5000 | Avg Reward: 245.50
Game 580/5000 | Avg Reward: 186.40
Game 590/5000 | Avg Reward: 202.70
Game 600/5000 | Avg Reward: 157.20
Game 610/5000 | Avg Reward: 177.20
Game 620/5000 | Avg Reward: 151.00
Game 630/5000 | Avg Reward: 240.40
Game 640/5000 | Avg Reward: 187.30
Game 650/5000 | Avg Reward: 196.40
Game 660/5000 | Avg Reward: 194.30
Game 670/5000 | Avg Reward: 152.80
Game 680/5000 | Avg Reward: 157.80
Game 690/5000 | Avg Reward: 204.20
Game 700/5000 | Avg Reward: 171.40
Game 710/5000 | Avg Reward: 139.90
Game 720/5000 | Avg Reward: 165.90
Game 730/5000 | Avg Reward: 236.40
Game 740/5000 | Avg Reward: 200.80
Game 750/5000 | Avg Reward: 197.60
Game 760/5000 | Avg Reward: 233.50
Game 770/5000 | Avg Reward: 166.50
Game 780/5000 | Avg Reward: 185.50
Game 790/5000 | Avg Reward: 191.10
Game 800/5000 | Avg Reward: 240.10
Game 810/5000 | Avg Reward: 342.00
Game 820/5000 | Avg Reward: 253.60
Game 830/5000 | Avg Reward: 195.50
Game 840/5000 | Avg Reward: 213.40
Game 850/5000 | Avg Reward: 175.80
Game 860/5000 | Avg Reward: 130.20
Game 870/5000 | Avg Reward: 220.20
Game 880/5000 | Avg Reward: 152.10
Game 890/5000 | Avg Reward: 138.90
Game 900/5000 | Avg Reward: 153.60
Game 910/5000 | Avg Reward: 134.00
Game 920/5000 | Avg Reward: 156.00
Game 930/5000 | Avg Reward: 128.10
Game 940/5000 | Avg Reward: 148.90
Game 950/5000 | Avg Reward: 172.60
Game 960/5000 | Avg Reward: 136.40
Game 970/5000 | Avg Reward: 185.70
Game 980/5000 | Avg Reward: 170.40
Game 990/5000 | Avg Reward: 165.60
Game 1000/5000 | Avg Reward: 161.50
Game 1010/5000 | Avg Reward: 175.30
Game 1020/5000 | Avg Reward: 196.60
Game 1030/5000 | Avg Reward: 240.70
Game 1040/5000 | Avg Reward: 149.20
Game 1050/5000 | Avg Reward: 123.20
Game 1060/5000 | Avg Reward: 170.00
Game 1070/5000 | Avg Reward: 154.70
Game 1080/5000 | Avg Reward: 139.40
Game 1090/5000 | Avg Reward: 154.20
Game 1100/5000 | Avg Reward: 167.40
Game 1110/5000 | Avg Reward: 158.40
Game 1120/5000 | Avg Reward: 172.50
Game 1130/5000 | Avg Reward: 194.30
Game 1140/5000 | Avg Reward: 173.80
Game 1150/5000 | Avg Reward: 154.40
Game 1160/5000 | Avg Reward: 186.40
Game 1170/5000 | Avg Reward: 179.00
Game 1180/5000 | Avg Reward: 182.80
Game 1190/5000 | Avg Reward: 147.80
Game 1200/5000 | Avg Reward: 156.60
Game 1210/5000 | Avg Reward: 146.60
Game 1220/5000 | Avg Reward: 175.10
Game 1230/5000 | Avg Reward: 123.20
Game 1240/5000 | Avg Reward: 165.50
Game 1250/5000 | Avg Reward: 143.60
Game 1260/5000 | Avg Reward: 220.00
Game 1270/5000 | Avg Reward: 133.40
Game 1280/5000 | Avg Reward: 165.50
Game 1290/5000 | Avg Reward: 174.90
Game 1300/5000 | Avg Reward: 167.70
Game 1310/5000 | Avg Reward: 188.20
Game 1320/5000 | Avg Reward: 179.70
Game 1330/5000 | Avg Reward: 181.90
Game 1340/5000 | Avg Reward: 180.20
Game 1350/5000 | Avg Reward: 179.80
Game 1360/5000 | Avg Reward: 152.70
Game 1370/5000 | Avg Reward: 131.50
Game 1380/5000 | Avg Reward: 136.00
Game 1390/5000 | Avg Reward: 184.30
Game 1400/5000 | Avg Reward: 133.60
Game 1410/5000 | Avg Reward: 294.60
Game 1420/5000 | Avg Reward: 217.20
Game 1430/5000 | Avg Reward: 137.30
Game 1440/5000 | Avg Reward: 148.60
Game 1450/5000 | Avg Reward: 131.00
Game 1460/5000 | Avg Reward: 159.50
Game 1470/5000 | Avg Reward: 180.00
Game 1480/5000 | Avg Reward: 123.80
Game 1490/5000 | Avg Reward: 122.10
Game 1500/5000 | Avg Reward: 179.50
Game 1510/5000 | Avg Reward: 162.10
Game 1520/5000 | Avg Reward: 149.20
Game 1530/5000 | Avg Reward: 121.30
Game 1540/5000 | Avg Reward: 134.10
Game 1550/5000 | Avg Reward: 136.10
Game 1560/5000 | Avg Reward: 127.10
Game 1570/5000 | Avg Reward: 130.80
Game 1580/5000 | Avg Reward: 181.50
Game 1590/5000 | Avg Reward: 156.70
Game 1600/5000 | Avg Reward: 123.90
Game 1610/5000 | Avg Reward: 117.30
Game 1620/5000 | Avg Reward: 132.80
Game 1630/5000 | Avg Reward: 134.90
Game 1640/5000 | Avg Reward: 156.10
Game 1650/5000 | Avg Reward: 130.60
Game 1660/5000 | Avg Reward: 169.70
Game 1670/5000 | Avg Reward: 134.10
Game 1680/5000 | Avg Reward: 182.00
Game 1690/5000 | Avg Reward: 136.70
Game 1700/5000 | Avg Reward: 129.90
Game 1710/5000 | Avg Reward: 125.40
Game 1720/5000 | Avg Reward: 205.70
Game 1730/5000 | Avg Reward: 134.70
Game 1740/5000 | Avg Reward: 175.20
Game 1750/5000 | Avg Reward: 161.20
Game 1760/5000 | Avg Reward: 170.10
Game 1770/5000 | Avg Reward: 132.70
Game 1780/5000 | Avg Reward: 137.90
Game 1790/5000 | Avg Reward: 133.10
Game 1800/5000 | Avg Reward: 144.40
Game 1810/5000 | Avg Reward: 148.50
Game 1820/5000 | Avg Reward: 118.00
Game 1830/5000 | Avg Reward: 172.50
Game 1840/5000 | Avg Reward: 134.40
Game 1850/5000 | Avg Reward: 140.70
Game 1860/5000 | Avg Reward: 126.30
Game 1870/5000 | Avg Reward: 117.00
Game 1880/5000 | Avg Reward: 142.80
Game 1890/5000 | Avg Reward: 137.10
Game 1900/5000 | Avg Reward: 135.40
Game 1910/5000 | Avg Reward: 146.90
Game 1920/5000 | Avg Reward: 139.00
Game 1930/5000 | Avg Reward: 135.00
Game 1940/5000 | Avg Reward: 130.00
Game 1950/5000 | Avg Reward: 168.40
Game 1960/5000 | Avg Reward: 150.50
Game 1970/5000 | Avg Reward: 129.20
Game 1980/5000 | Avg Reward: 134.00
Game 1990/5000 | Avg Reward: 118.20
Game 2000/5000 | Avg Reward: 127.50
Game 2010/5000 | Avg Reward: 130.00
Game 2020/5000 | Avg Reward: 161.00
Game 2030/5000 | Avg Reward: 137.80
Game 2040/5000 | Avg Reward: 122.30
Game 2050/5000 | Avg Reward: 121.30
Game 2060/5000 | Avg Reward: 130.10
Game 2070/5000 | Avg Reward: 132.80
Game 2080/5000 | Avg Reward: 126.50
Game 2090/5000 | Avg Reward: 142.30
Game 2100/5000 | Avg Reward: 126.00
Game 2110/5000 | Avg Reward: 121.20
Game 2120/5000 | Avg Reward: 129.90
Game 2130/5000 | Avg Reward: 131.80
Game 2140/5000 | Avg Reward: 130.40
Game 2150/5000 | Avg Reward: 124.50
Game 2160/5000 | Avg Reward: 122.90
Game 2170/5000 | Avg Reward: 136.50
